protein_id	go_term	qualifier	evidence_code	source_db
Q96PU8	GO:0003730	enables	IDA	UniProtKB
Q96PU8	GO:0048255	involved_in	IDA	UniProtKB
Q96PU8	GO:0035198	enables	IDA	UniProtKB
Q96PU8	GO:0016525	involved_in	IDA	UniProtKB
Q96PU8	GO:0005829	is_active_in	IDA	UniProtKB
Q96PU8	GO:0010494	is_active_in	IDA	UniProtKB
Q96PU8	GO:2000626	involved_in	IDA	UniProtKB
Q3UR78	GO:0007283	involved_in	IMP	UniProtKB
Q3UR78	GO:0005515	enables	IPI	UniProtKB
P15515	GO:0090303	involved_in	IDA	UniProtKB
P15515	GO:0005739	located_in	IDA	UniProtKB
P15515	GO:0005739	is_active_in	IDA	UniProtKB
P15515	GO:0005739	is_active_in	IMP	UniProtKB
P15515	GO:0005783	located_in	IDA	UniProtKB
P15515	GO:0005783	is_active_in	IDA	UniProtKB
P15515	GO:0005783	is_active_in	IMP	UniProtKB
P15515	GO:0009893	involved_in	IDA	UniProtKB
P15515	GO:0009893	involved_in	IMP	UniProtKB
Q64692	GO:0097503	involved_in	IDA	UniProtKB
Q32KD2	GO:0140966	involved_in	IMP	UniProtKB
Q32KD2	GO:0140947	enables	IDA	UniProtKB
P56857	GO:0005886	located_in	IDA	UniProtKB
P56857	GO:0005911	located_in	IDA	UniProtKB
P56857	GO:0048286	involved_in	IMP	UniProtKB
P56857	GO:0050673	involved_in	IMP	UniProtKB
P56857	GO:0120193	involved_in	IMP	UniProtKB
P56857	GO:0071391	involved_in	IMP	UniProtKB
P56857	GO:0035265	involved_in	IMP	UniProtKB
P56857	GO:0042045	involved_in	IMP	UniProtKB
Q9P3W1	GO:0006367	involved_in	IDA	UniProtKB
P32561	GO:0006357	involved_in	IGI	UniProtKB
P32561	GO:0006357	involved_in	IPI	UniProtKB
O08775	GO:0051897	involved_in	IMP	UniProtKB
Q62792	GO:0007584	involved_in	IEP	UniProtKB
Q09917	GO:0000139	is_active_in	IDA	UniProtKB
Q09917	GO:0090334	involved_in	IMP	UniProtKB
Q09917	GO:0035585	involved_in	IMP	UniProtKB
P03966	GO:0141068	acts_upstream_of_positive_effect	IMP	UniProtKB
O08808	GO:0045010	acts_upstream_of_or_within	IDA	UniProtKB
O08808	GO:0010467	acts_upstream_of_or_within	IDA	UniProtKB
O08808	GO:0048013	acts_upstream_of_or_within	IGI	UniProtKB
O08808	GO:0106028	acts_upstream_of_or_within	IGI	UniProtKB
O08808	GO:0070571	acts_upstream_of_or_within	IGI	UniProtKB
O08808	GO:0071965	acts_upstream_of_or_within	IGI	UniProtKB
O08808	GO:0016199	acts_upstream_of_or_within	IGI	UniProtKB
O08808	GO:0008104	acts_upstream_of_or_within	IGI	UniProtKB
P35922	GO:0035195	acts_upstream_of_or_within_positive_effect	IDA	UniProtKB
Q96K80	GO:0005634	located_in	IDA	UniProtKB
Q62388	GO:0035979	enables	IDA	UniProtKB
P32871	GO:0043491	involved_in	IDA	UniProtKB
Q3V0Q7	GO:1902492	involved_in	IMP	UniProtKB
Q3V0Q7	GO:0007283	involved_in	IMP	UniProtKB
Q3V0Q7	GO:0001675	involved_in	IMP	UniProtKB
Q0D289	GO:1904888	acts_upstream_of_or_within	IGI	UniProtKB
P26367	GO:0001228	enables	IDA	UniProtKB
P26367	GO:1902895	involved_in	IDA	UniProtKB
P26367	GO:0007399	involved_in	IMP	UniProtKB
Q803I4	GO:1905304	acts_upstream_of_or_within	IMP	UniProtKB
Q803I4	GO:0003161	acts_upstream_of_or_within	IMP	UniProtKB
Q14012	GO:0035556	involved_in	IMP	UniProtKB
P22004	GO:0060391	involved_in	IDA	UniProtKB
Q9UNE7	GO:0006513	involved_in	IDA	UniProtKB
Q9UNE7	GO:1904294	involved_in	IMP	UniProtKB
P09619	GO:0051897	involved_in	IDA	UniProtKB
P09619	GO:0004672	enables	IDA	UniProtKB
Q91ZM2	GO:0048870	acts_upstream_of_or_within	IDA	UniProtKB
O94964	GO:0005874	located_in	IDA	UniProtKB
O94964	GO:0030496	located_in	IDA	UniProtKB
O94964	GO:0007059	involved_in	IMP	UniProtKB
Q9NY56	GO:0005549	enables	IDA	UniProtKB
Q08887	GO:0045944	involved_in	IMP	UniProtKB
P78536	GO:0045742	involved_in	IMP	UniProtKB
Q9W7E7	GO:0030510	acts_upstream_of_or_within	IMP	UniProtKB
P31938	GO:0038133	involved_in	IDA	UniProtKB
P31938	GO:0004674	enables	IDA	UniProtKB
P31938	GO:0000165	involved_in	IGI	UniProtKB
P31938	GO:0000165	involved_in	IMP	UniProtKB
P31938	GO:0014044	involved_in	IMP	UniProtKB
P31938	GO:0042552	involved_in	IMP	UniProtKB
P56705	GO:0035567	involved_in	IDA	UniProtKB
P56705	GO:0043410	involved_in	IDA	UniProtKB
Q9HBY0	GO:0016175	enables	IDA	UniProtKB
P27090	GO:0060391	involved_in	IDA	UniProtKB
P27090	GO:0007179	involved_in	IDA	UniProtKB
Q6P6C2	GO:0140694	involved_in	IDA	UniProtKB
Q6P6C2	GO:0042382	is_active_in	IDA	UniProtKB
Q6P6C2	GO:0006417	involved_in	IDA	UniProtKB
Q6P6C2	GO:0140693	enables	IDA	UniProtKB
P09081	GO:0043565	enables	IDA	UniProtKB
Q27888	GO:0004459	enables	IDA	UniProtKB
Q04771	GO:0098821	enables	IDA	UniProtKB
Q04771	GO:0004675	enables	IDA	UniProtKB
W6YKT9	GO:0005576	located_in	IDA	UniProtKB
W6YKT9	GO:0140590	involved_in	IDA	UniProtKB
W6YKT9	GO:0004252	enables	IDA	UniProtKB
W6YKT9	GO:0004252	enables	IMP	UniProtKB
Q8CIG3	GO:0044726	acts_upstream_of_or_within	IMP	UniProtKB
Q61292	GO:0000902	acts_upstream_of_or_within	IGI	UniProtKB
Q9QZL0	GO:0043123	acts_upstream_of_or_within	IDA	UniProtKB
Q6NSR3	GO:0010795	involved_in	IDA	UniProtKB
P41813	GO:0045944	involved_in	IGI	UniProtKB
P41813	GO:0045944	involved_in	IMP	UniProtKB
P41813	GO:0000122	involved_in	IGI	UniProtKB
Q9R229	GO:0060391	involved_in	IDA	UniProtKB
Q9R229	GO:0030509	involved_in	IDA	UniProtKB
O88508	GO:0141068	involved_in	IDA	UniProtKB
O88508	GO:0141068	acts_upstream_of_or_within	IMP	UniProtKB
Q9JLV5	GO:0000209	acts_upstream_of_or_within_positive_effect	IDA	UniProtKB
A0A126GUP6	GO:0004252	enables	IDA	UniProtKB
A0A126GUP6	GO:0160032	involved_in	IDA	UniProtKB
O35114	GO:0099638	acts_upstream_of_or_within	IMP	UniProtKB
Q9GZX9	GO:0060391	involved_in	IDA	UniProtKB
Q9GZX9	GO:0030511	involved_in	IDA	UniProtKB
P15330	GO:0000978	enables	IDA	UniProtKB
P15330	GO:0007249	involved_in	IDA	UniProtKB
O48963	GO:0071483	involved_in	IMP	UniProtKB
O14368	GO:0044183	enables	IDA	UniProtKB
O01427	GO:0140996	enables	IDA	UniProtKB
O01427	GO:0140996	enables	IMP	UniProtKB
Q10430	GO:0000940	part_of	IDA	UniProtKB
O17286	GO:0000122	involved_in	IMP	UniProtKB
P40792	GO:0006911	involved_in	IDA	UniProtKB
Q01973	GO:0015026	enables	TAS	UniProtKB
Q0VGT2	GO:0008589	acts_upstream_of_or_within	IGI	UniProtKB
Q7SYE0	GO:1902732	acts_upstream_of_or_within	IMP	UniProtKB
Q7SYE0	GO:0061181	acts_upstream_of_or_within	IMP	UniProtKB
Q7SYE0	GO:0010506	acts_upstream_of_or_within	IMP	UniProtKB
P05027	GO:0005391	enables	IDA	UniProtKB
Q9Z0Z3	GO:0000209	acts_upstream_of_or_within	IDA	UniProtKB
