protein_id	go_term	qualifier	evidence_code	source_db
Q9M2U3	GO:0005515	enables	IPI	UniProtKB
P28493	GO:0009505	located_in	HDA	UniProtKB
Q9ZT16	GO:0016020	located_in	TAS	UniProtKB
P54144	GO:0009413	involved_in	IEP	UniProtKB
Q1G3U5	GO:0005886	located_in	IDA	UniProtKB
Q1G3U5	GO:0009501	located_in	IDA	UniProtKB
Q9JMA2	GO:0002099	involved_in	IDA	UniProtKB
Q0WPF2	GO:0031440	involved_in	IMP	UniProtKB
P07711	GO:0031012	located_in	HDA	UniProtKB
Q06104	GO:0005768	is_active_in	IDA	UniProtKB
Q06104	GO:0005802	is_active_in	IDA	UniProtKB
Q06104	GO:0044695	part_of	IDA	UniProtKB
Q06104	GO:0140624	acts_upstream_of_or_within	IMP	UniProtKB
P54121	GO:0042742	involved_in	IGI	UniProtKB
P54121	GO:0090358	involved_in	IGI	UniProtKB
Q05934	GO:0006303	acts_upstream_of_or_within	IMP	UniProtKB
P01579	GO:0002726	acts_upstream_of_or_within	IDA	UniProtKB
P01579	GO:0038110	acts_upstream_of_or_within	IDA	UniProtKB
P01579	GO:0007259	acts_upstream_of_or_within	IDA	UniProtKB
Q8K0E8	GO:0031012	located_in	HDA	UniProtKB
E9PV24	GO:0031012	located_in	HDA	UniProtKB
Q6P0D9	GO:0016226	acts_upstream_of_or_within	IMP	UniProtKB
Q9HDU2	GO:0033499	involved_in	EXP	UniProtKB
Q9FIR9	GO:0005634	located_in	IDA	UniProtKB
Q9FIR9	GO:0005737	located_in	IDA	UniProtKB
Q9FIR9	GO:0005739	located_in	IDA	UniProtKB
Q9FIR9	GO:0009507	located_in	IDA	UniProtKB
Q90830	GO:0006457	involved_in	IDA	UniProtKB
Q01804	GO:0044314	acts_upstream_of_or_within	IDA	UniProtKB
P18065	GO:0045668	acts_upstream_of_or_within	IDA	UniProtKB
Q9CQN6	GO:0006783	acts_upstream_of_or_within	IMP	UniProtKB
Q9UHF1	GO:0031012	located_in	HDA	UniProtKB
P92547	GO:0045259	part_of	HDA	UniProtKB
Q9STQ3	GO:0016020	located_in	TAS	UniProtKB
Q9LUS2	GO:0005515	enables	IPI	UniProtKB
Q7T3T8	GO:0030704	acts_upstream_of_or_within	IMP	UniProtKB
Q7T3T8	GO:0048599	acts_upstream_of_or_within	IMP	UniProtKB
Q9M2R0	GO:0009663	involved_in	IDA	UniProtKB
Q86Y22	GO:0031012	located_in	HDA	UniProtKB
P30740	GO:0031012	located_in	HDA	UniProtKB
Q9Y468	GO:0140128	enables	IDA	UniProtKB
P47051	GO:0009249	involved_in	IMP	UniProtKB
Q8T8L8	GO:0018279	involved_in	IMP	UniProtKB
P08249	GO:0006099	involved_in	IDA	UniProtKB
P00797	GO:0002034	acts_upstream_of_or_within	IDA	UniProtKB
P00797	GO:0038166	acts_upstream_of_or_within	IDA	UniProtKB
O74465	GO:0030466	involved_in	IC	UniProtKB
O74465	GO:0031934	is_active_in	IPI	UniProtKB
O74465	GO:0005721	is_active_in	IPI	UniProtKB
Q9Z2B5	GO:2001243	acts_upstream_of_or_within	IDA	UniProtKB
Q9Z2B5	GO:0097193	acts_upstream_of	IDA	UniProtKB
Q9Z2B5	GO:0097193	acts_upstream_of	IMP	UniProtKB
Q9LY05	GO:0009873	acts_upstream_of_or_within	TAS	UniProtKB
Q9LY05	GO:0003700	enables	TAS	UniProtKB
Q01768	GO:0120225	enables	IDA	UniProtKB
Q01768	GO:0042304	involved_in	IDA	UniProtKB
Q01768	GO:0004550	enables	IDA	UniProtKB
Q01768	GO:0006183	involved_in	IDA	UniProtKB
Q9SF32	GO:0005516	enables	IDA	UniProtKB
Q9SF32	GO:0019761	acts_upstream_of_or_within	IMP	UniProtKB
Q9SF32	GO:0006952	acts_upstream_of_or_within	IMP	UniProtKB
Q7KU86	GO:0005829	is_active_in	IDA	UniProtKB
Q9ER58	GO:0031012	located_in	HDA	UniProtKB
P09486	GO:0031012	located_in	HDA	UniProtKB
Q84K79	GO:0005515	enables	IPI	UniProtKB
Q99M04	GO:0009249	involved_in	IMP	UniProtKB
Q9H0U3	GO:0005789	located_in	IMP	UniProtKB
Q60854	GO:0031012	located_in	HDA	UniProtKB
Q3EBC8	GO:0044027	acts_upstream_of_or_within	IMP	UniProtKB
Q946J8	GO:0009744	involved_in	IEP	UniProtKB
Q946J8	GO:0003723	enables	IPI	UniProtKB
O80982	GO:0003677	enables	IPI	UniProtKB
Q14626	GO:0030154	acts_upstream_of_or_within	IDA	UniProtKB
P14373	GO:0010508	acts_upstream_of_or_within	IDA	UniProtKB
P14373	GO:0032481	acts_upstream_of_or_within	IDA	UniProtKB
P14373	GO:0141039	enables	IDA	UniProtKB
Q53H80	GO:0010498	acts_upstream_of_or_within	IDA	UniProtKB
Q9W7E7	GO:0003146	acts_upstream_of_or_within	IMP	UniProtKB
Q9NTU7	GO:0031012	located_in	HDA	UniProtKB
P0DI78	GO:0005737	located_in	IDA	UniProtKB
P0DI78	GO:0005886	located_in	IDA	UniProtKB
P0DI78	GO:0005829	located_in	HDA	UniProtKB
P0DI78	GO:0016020	located_in	HDA	UniProtKB
Q8LCW9	GO:0042742	involved_in	IEP	UniProtKB
P70288	GO:0045814	involved_in	IDA	UniProtKB
Q8CEI1	GO:0009249	acts_upstream_of_or_within	IMP	UniProtKB
Q6DR10	GO:0008374	enables	IDA	UniProtKB
Q8RYC8	GO:0000987	enables	IDA	UniProtKB
O74805	GO:0031475	part_of	TAS	UniProtKB
P0DI79	GO:0005737	located_in	IDA	UniProtKB
P0DI79	GO:0005886	located_in	IDA	UniProtKB
P0DI79	GO:0005829	located_in	HDA	UniProtKB
P0DI79	GO:0098609	acts_upstream_of_or_within	IMP	UniProtKB
P0DI79	GO:0008360	acts_upstream_of_or_within	IMP	UniProtKB
Q8L6Y4	GO:0141044	acts_upstream_of_or_within	IMP	UniProtKB
Q8L6Y4	GO:0001222	enables	IPI	UniProtKB
Q9W415	GO:0005515	enables	IPI	UniProtKB
P59833	GO:0005886	located_in	IDA	UniProtKB
P59833	GO:0016020	located_in	TAS	UniProtKB
Q18688	GO:0006457	involved_in	IDA	UniProtKB
P87138	GO:0005829	is_active_in	IC	UniProtKB
P87138	GO:0019284	involved_in	IC	UniProtKB
Q03692	GO:0031012	located_in	HDA	UniProtKB
Q8VYI0	GO:0016070	acts_upstream_of_or_within	IMP	UniProtKB
Q9UPN7	GO:0030027	located_in	IDA	UniProtKB
Q1JPL4	GO:0099617	colocalizes_with	IDA	UniProtKB
Q90270	GO:0042246	acts_upstream_of_or_within	IMP	UniProtKB
Q9M8K6	GO:0090627	acts_upstream_of_or_within	IMP	UniProtKB
Q940J1	GO:0048768	involved_in	IEP	UniProtKB
Q8WTW4	GO:0002181	acts_upstream_of_or_within	IDA	UniProtKB
Q8WTW4	GO:0038202	acts_upstream_of_or_within	IDA	UniProtKB
Q8WTW4	GO:1904263	acts_upstream_of_or_within	IDA	UniProtKB
Q8WTW4	GO:0031669	acts_upstream_of_or_within	IDA	UniProtKB
Q8WTW4	GO:0045947	acts_upstream_of_or_within	IDA	UniProtKB
Q8WTW4	GO:0045948	acts_upstream_of_or_within	IDA	UniProtKB
Q8WTW4	GO:0061431	acts_upstream_of_or_within	IDA	UniProtKB
Q8WTW4	GO:0061462	acts_upstream_of_or_within	IDA	UniProtKB
Q12001	GO:0005789	located_in	IDA	UniProtKB
Q9SZ46	GO:0005829	located_in	IDA	UniProtKB
Q9SZ46	GO:0010446	involved_in	IEP	UniProtKB
Q9SZ46	GO:0010446	involved_in	IDA	UniProtKB
Q2V4B2	GO:0009055	enables	IMP	UniProtKB
O49500	GO:0009845	involved_in	IDA	UniProtKB
O49500	GO:0010218	involved_in	IDA	UniProtKB
O49500	GO:0061659	enables	IDA	UniProtKB
Q3ECW8	GO:0005791	located_in	IDA	UniProtKB
P0DH95	GO:0009612	acts_upstream_of_or_within	IEP	UniProtKB
P0DH95	GO:0005634	located_in	HDA	UniProtKB
P0DH95	GO:0009536	located_in	HDA	UniProtKB
O81223	GO:0071472	acts_upstream_of_or_within	IMP	UniProtKB
Q9M1V5	GO:0003677	enables	IDA	UniProtKB
P09871	GO:0106139	is_active_in	IDA	UniProtKB
P09871	GO:0005602	part_of	IDA	UniProtKB
P09871	GO:0006958	involved_in	IDA	UniProtKB
P09871	GO:0006958	acts_upstream_of_or_within	IDA	UniProtKB
Q9C5N2	GO:0005768	located_in	HDA	UniProtKB
Q9C5N2	GO:0005794	located_in	HDA	UniProtKB
Q9C5N2	GO:0005797	located_in	HDA	UniProtKB
Q9C5N2	GO:0005802	located_in	HDA	UniProtKB
Q9C5N2	GO:0009506	located_in	HDA	UniProtKB
Q9C5N2	GO:0009536	located_in	HDA	UniProtKB
Q14833	GO:0007193	acts_upstream_of_or_within	IDA	UniProtKB
Q9SG91	GO:0045275	part_of	HDA	UniProtKB
Q9C895	GO:0140852	enables	IMP	UniProtKB
Q9C895	GO:0140936	enables	IMP	UniProtKB
Q9C895	GO:0005515	enables	IPI	UniProtKB
P61014	GO:0003015	acts_upstream_of_or_within	IMP	UniProtKB
Q9LZF5	GO:0009505	located_in	HDA	UniProtKB
O48963	GO:0009639	acts_upstream_of_or_within	IMP	UniProtKB
O48963	GO:1901371	acts_upstream_of_or_within	IMP	UniProtKB
O48963	GO:0060772	acts_upstream_of_or_within	IMP	UniProtKB
O48963	GO:0009785	involved_in	IMP	UniProtKB
O65472	GO:0000325	located_in	HDA	UniProtKB
P51398	GO:0003924	enables	IMP	UniProtKB
P51398	GO:0032543	involved_in	IMP	UniProtKB
P51398	GO:0003735	enables	IMP	UniProtKB
Q9LZ46	GO:0000775	located_in	IDA	UniProtKB
Q9LZ46	GO:0000792	located_in	IDA	UniProtKB
Q9LZ46	GO:0003682	enables	IDA	UniProtKB
Q9LZ46	GO:0070828	acts_upstream_of_or_within	IGI	UniProtKB
P93836	GO:0005829	located_in	IDA	UniProtKB
