protein_id	go_term	qualifier	evidence_code	source_db
Q96DV4	GO:0005829	located_in	IDA	UniProtKB
Q9H0R8	GO:0005543	enables	IDA	UniProtKB
A8DYH2	GO:0005829	is_active_in	IDA	UniProtKB
A8DYH2	GO:0071569	involved_in	IDA	UniProtKB
A8DYH2	GO:0031386	enables	IDA	UniProtKB
Q3UR78	GO:0005615	located_in	IDA	UniProtKB
P10412	GO:0042826	enables	IPI	UniProtKB
O74700	GO:0005743	located_in	IDA	UniProtKB
Q9D8N3	GO:0005789	located_in	IDA	UniProtKB
Q9D8N3	GO:0047408	enables	IMP	UniProtKB
O76021	GO:0005515	enables	IPI	UniProtKB
P10906	GO:0016020	located_in	IDA	UniProtKB
Q9W0G1	GO:0051898	involved_in	IGI	UniProtKB
Q9VHD2	GO:0005515	enables	IPI	UniProtKB
F1QCV2	GO:0036269	acts_upstream_of_or_within	IGI	UniProtKB
F1QCV2	GO:0090043	acts_upstream_of_or_within	IGI	UniProtKB
P24279	GO:0006279	involved_in	IDA	UniProtKB
P09619	GO:0050850	involved_in	IMP	UniProtKB
Q10198	GO:0000779	is_active_in	IDA	UniProtKB
O88339	GO:0048268	involved_in	IDA	UniProtKB
Q9VTY4	GO:0005515	enables	IPI	UniProtKB
O74805	GO:0016887	enables	IC	UniProtKB
Q9ULP0	GO:0005829	located_in	IDA	UniProtKB
Q9ULP0	GO:0005886	located_in	IDA	UniProtKB
Q9Z127	GO:0005515	enables	IPI	UniProtKB
Q6NYC1	GO:0006338	involved_in	IDA	UniProtKB
O95989	GO:0000298	enables	IDA	UniProtKB
O95989	GO:0008270	enables	IDA	UniProtKB
O95989	GO:0030145	enables	IDA	UniProtKB
O95989	GO:0005634	located_in	IDA	UniProtKB
O95989	GO:0005737	located_in	IDA	UniProtKB
O95989	GO:1901909	involved_in	IDA	UniProtKB
O95989	GO:0140932	enables	IDA	UniProtKB
O95989	GO:0140933	enables	IDA	UniProtKB
Q9BS16	GO:0000939	located_in	IPI	UniProtKB
P28702	GO:0005730	located_in	IDA	UniProtKB
P28702	GO:0005829	located_in	IDA	UniProtKB
P57075	GO:0016607	located_in	IDA	UniProtKB
Q9NR48	GO:0140938	enables	TAS	UniProtKB
P10244	GO:0005829	located_in	IDA	UniProtKB
Q24592	GO:0071907	involved_in	IMP	UniProtKB
P16905	GO:0005515	enables	IPI	UniProtKB
Q09849	GO:0140861	involved_in	IC	UniProtKB
Q9H2D6	GO:0005515	enables	IPI	UniProtKB
Q9P6S5	GO:0000779	is_active_in	IDA	UniProtKB
Q9Y2I6	GO:0005813	located_in	IDA	UniProtKB
Q8WTW4	GO:1904262	involved_in	IDA	UniProtKB
Q86Y97	GO:0140939	enables	TAS	UniProtKB
Q8WTX7	GO:0034198	involved_in	IDA	UniProtKB
Q6PIY7	GO:0006378	involved_in	IDA	UniProtKB
Q13541	GO:0017148	involved_in	IDA	UniProtKB
Q13541	GO:0031369	enables	EXP	UniProtKB
Q13541	GO:0031369	enables	IPI	UniProtKB
P29742	GO:0006898	involved_in	IMP	UniProtKB
Q8TB72	GO:0061158	involved_in	TAS	UniProtKB
P22289	GO:0005743	located_in	IDA	UniProtKB
Q9D8E6	GO:0005737	located_in	IDA	UniProtKB
P01581	GO:1901327	involved_in	IEP	UniProtKB
P42582	GO:0005654	located_in	TAS	UniProtKB
P42582	GO:0060411	involved_in	IMP	UniProtKB
P14854	GO:0031966	located_in	IDA	UniProtKB
Q9UNE7	GO:0070412	enables	IPI	UniProtKB
Q9V4P1	GO:0007105	involved_in	IMP	UniProtKB
Q9GZV3	GO:0015871	involved_in	IDA	UniProtKB
Q9GZV3	GO:0015871	involved_in	IMP	UniProtKB
Q9GZV3	GO:0030672	located_in	IDA	UniProtKB
Q9GZV3	GO:0031901	located_in	IDA	UniProtKB
Q9GZV3	GO:0031901	located_in	IMP	UniProtKB
Q9GZV3	GO:0042734	located_in	IDA	UniProtKB
P0CG30	GO:0005515	enables	IPI	UniProtKB
P40792	GO:0030295	enables	IDA	UniProtKB
P01143	GO:1904044	involved_in	IEP	UniProtKB
Q10430	GO:0000779	is_active_in	IDA	UniProtKB
O74198	GO:0036197	acts_upstream_of_or_within	IMP	UniProtKB
P30666	GO:0006279	involved_in	IDA	UniProtKB
Q9HCJ1	GO:0005347	enables	IDA	UniProtKB
Q9HCJ1	GO:1904669	involved_in	IMP	UniProtKB
P41163	GO:0030509	acts_upstream_of_or_within	IDA	UniProtKB
O13762	GO:0016887	enables	IC	UniProtKB
Q6TJY3	GO:0043491	involved_in	IDA	UniProtKB
Q9VV43	GO:0048680	involved_in	IMP	UniProtKB
Q96QK1	GO:1904377	involved_in	IMP	UniProtKB
P30419	GO:0072657	involved_in	IDA	UniProtKB
