protein_id	go_term	qualifier	evidence_code	source_db
P63027	GO:0070044	part_of	IPI	UniProtKB
Q05117	GO:0016311	acts_upstream_of_or_within	IDA	UniProtKB
P40189	GO:0035425	involved_in	IDA	UniProtKB
P40189	GO:0007259	involved_in	IDA	UniProtKB
P40189	GO:0007259	acts_upstream_of_positive_effect	IDA	UniProtKB
O13689	GO:0016462	enables	TAS	UniProtKB
O13689	GO:0006487	involved_in	TAS	UniProtKB
Q99543	GO:0101031	part_of	IPI	UniProtKB
P40567	GO:0005515	enables	IPI	UniProtKB
P47870	GO:0005515	enables	IPI	UniProtKB
P16128	GO:0000795	located_in	IDA	UniProtKB
P16128	GO:0005515	enables	IPI	UniProtKB
O42916	GO:0006656	involved_in	IC	UniProtKB
P70668	GO:0046068	involved_in	IDA	UniProtKB
P20689	GO:0006468	involved_in	IDA	UniProtKB
P20689	GO:0006468	involved_in	IMP	UniProtKB
P20689	GO:0018105	involved_in	TAS	UniProtKB
Q15822	GO:0045202	is_active_in	IDA	UniProtKB
Q15822	GO:0095500	involved_in	IDA	UniProtKB
Q15822	GO:0051899	involved_in	IDA	UniProtKB
Q96DB5	GO:0005813	located_in	IDA	UniProtKB
Q9Y468	GO:0016604	located_in	IDA	UniProtKB
Q1HG44	GO:0050665	involved_in	IDA	UniProtKB
Q1HG44	GO:0043020	part_of	IPI	UniProtKB
Q9GZN8	GO:0005515	enables	IPI	UniProtKB
P49704	GO:0005515	enables	IPI	UniProtKB
Q92797	GO:0005847	part_of	IDA	UniProtKB
Q92797	GO:0031124	involved_in	IDA	UniProtKB
P0ACE0	GO:0005886	located_in	IDA	UniProtKB
P0ACE0	GO:0019645	involved_in	IDA	UniProtKB
P0ACE0	GO:0009061	involved_in	IDA	UniProtKB
P0DI83	GO:0005654	located_in	IDA	UniProtKB
P0DI83	GO:0005730	located_in	IDA	UniProtKB
P0DI83	GO:0005813	located_in	IDA	UniProtKB
P0DI83	GO:0005929	located_in	IDA	UniProtKB
Q93149	GO:0055085	involved_in	IDA	UniProtKB
F1QCV2	GO:0090043	acts_upstream_of_or_within	IGI	UniProtKB
O48814	GO:0046777	acts_upstream_of_or_within	IDA	UniProtKB
